,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
761,No,Frequently,290.04,Unknown,2,3,Unknown,762,4,Female,,2,1,Laboratory Technician,2,Unknown,2342.59,6090.75,1,Unknown,22,4.0,2,Part Time,0,4.0,3,3.0,4,3,3,1985,28111.13,No
762,No,Rarely,1032.49,Unknown,24,4,Medical,763,2,Male,,4,3,Healthcare Representative,4,Married,8339.32,21682.23,3,No,15,3.0,3,Unknown,0,11.0,2,3.0,4,1,2,1970,,No
763,No,Frequently,556.26,Unknown,1,4,Unknown,764,3,Male,69.53208262471655,1,2,Sales Executive,4,Unknown,,11681.39,1,Unknown,14,3.0,3,Part Time,2,6.0,2,2.0,6,1,3,1986,53914.11,Yes
764,No,Unknown,290.04,Research & Development,12,3,Medical,765,3,Male,,4,1,Research Scientist,3,Married,2342.59,6090.75,1,No,16,3.0,4,Part Time,1,5.0,1,3.0,5,0,4,1999,28111.13,Yes
765,No,Rarely,306.84,Unknown,9,4,Medical,766,4,Female,38.35515873015873,3,1,Laboratory Technician,3,Unknown,,6443.67,9,No,17,3.0,3,Full Time,1,,2,3.0,5,1,2,1994,29740.0,No
766,No,Rarely,1032.49,Unknown,19,3,Unknown,767,4,Male,,1,3,Sales Executive,3,Married,8339.32,21682.23,3,No,13,3.0,3,Part Time,1,,2,1.0,4,0,2,1991,100071.84,No
767,No,Rarely,285.38,Unknown,12,3,Medical,768,2,Male,35.67261904761905,3,1,Laboratory Technician,2,Divorced,2305.0,5993.0,8,No,22,4.0,2,Part Time,3,7.0,6,2.0,5,0,4,1981,27660.0,Yes
768,No,Unknown,290.04,Unknown,9,4,Life Sciences,769,3,Male,,3,1,Laboratory Technician,1,Divorced,2342.59,6090.75,1,No,20,4.0,2,Part Time,2,5.0,2,3.0,5,0,4,1982,28111.13,Yes
769,Yes,Unknown,290.04,Unknown,1,2,Unknown,770,3,Male,,3,1,Research Scientist,2,Unknown,,6090.75,1,Yes,12,3.0,3,Part Time,3,,2,2.0,5,2,3,1979,28111.13,Yes
770,No,Rarely,290.04,Unknown,1,3,Unknown,771,3,Male,36.25443871706758,3,1,Research Scientist,4,Married,2342.59,6090.75,1,No,11,3.0,3,Part Time,1,5.0,6,4.0,5,0,3,1995,28111.13,Yes
771,No,Unknown,1032.49,Research & Development,10,1,Medical,772,3,Male,,3,3,Research Director,3,Single,8339.32,21682.23,7,Unknown,21,4.0,3,Part Time,0,,3,3.0,4,2,2,1984,100071.84,Yes
772,No,Unknown,348.42,Unknown,2,2,Life Sciences,773,3,Female,,3,1,Laboratory Technician,1,Married,,7316.83,4,Unknown,17,3.0,4,Full Time,1,7.0,5,2.0,4,0,2,1983,33770.0,Yes
773,Yes,Rarely,434.67,Unknown,10,4,Unknown,774,4,Male,,3,2,Manufacturing Director,1,Single,,9128.17,1,Unknown,15,3.0,2,Part Time,0,10.0,4,3.0,10,0,8,1986,42130.0,Yes
774,No,Unknown,671.98,Unknown,1,3,Unknown,775,3,Female,83.99702380952381,3,2,Healthcare Representative,4,Unknown,5427.5,14111.5,4,Unknown,17,3.0,4,Full Time,1,12.0,3,3.0,5,0,3,1983,65130.0,Yes
775,No,Rarely,556.26,Sales,10,3,Unknown,776,3,Male,,3,2,Sales Executive,4,Unknown,4492.84,11681.39,1,No,13,3.0,1,Unknown,0,,4,3.0,5,1,2,1997,,No
776,No,Unknown,290.04,Unknown,10,4,Technical Degree,777,3,Male,,3,1,Research Scientist,3,Married,2342.59,6090.75,3,No,22,4.0,2,Part Time,2,10.0,1,2.0,6,3,3,1981,28111.13,No
777,No,Rarely,1032.49,Unknown,4,3,Unknown,778,3,Male,129.06091077207583,3,3,Sales Executive,4,Married,8339.32,21682.23,2,Yes,13,3.0,4,Part Time,3,9.0,3,3.0,5,1,0,1989,100071.84,Yes
778,No,Rarely,442.0,Unknown,7,4,Medical,779,4,Male,55.25,3,2,Research Scientist,1,Unknown,,9282.0,5,Unknown,22,4.0,3,Part Time,1,16.0,2,3.0,5,0,4,1986,42840.0,Yes
779,No,Unknown,229.67,Unknown,2,4,Technical Degree,780,2,Male,28.70833333333333,3,1,Research Scientist,2,Unknown,1855.0,4823.0,1,No,11,3.0,3,Part Time,1,6.0,3,2.0,5,1,2,1996,22260.0,No
780,No,Rarely,573.75,Unknown,18,4,Unknown,781,2,Male,,3,2,Sales Executive,1,Unknown,4634.17,12048.83,0,Unknown,16,3.0,4,Full Time,1,,2,1.0,5,0,4,1988,55610.0,Yes
781,No,No,221.21,Unknown,16,3,Medical,782,3,Male,,3,1,Research Scientist,3,Single,1786.67,4645.33,1,No,14,3.0,3,Unknown,0,5.0,3,2.0,5,1,4,1995,,Yes
782,No,Unknown,554.36,Unknown,1,3,Life Sciences,783,1,Male,69.29464285714286,3,2,Healthcare Representative,1,Married,4477.5,11641.5,0,No,12,3.0,1,Part Time,1,6.0,5,2.0,5,0,2,1994,53730.0,No
783,No,Unknown,298.9,Research & Development,9,2,Unknown,784,1,Female,,3,2,Research Scientist,3,Married,2414.17,6276.83,3,No,11,3.0,3,Part Time,2,9.0,6,2.0,4,2,3,1969,28970.0,No
784,No,Rarely,556.26,Unknown,41,2,Life Sciences,785,41,Male,,2,2,Healthcare Representative,3,Single,4492.84,11681.39,1,No,12,3.0,2,Unknown,0,4.0,2,2.0,4,1,2,1999,,Yes
785,No,Frequently,548.99,Unknown,6,4,Unknown,786,1,Male,,2,2,Manufacturing Director,3,Married,4434.17,11528.83,2,No,11,3.0,4,Unknown,1,10.0,1,3.0,8,7,7,1985,,No
786,No,Unknown,558.17,Unknown,18,4,Unknown,787,4,Male,69.77182539682539,3,2,Research Scientist,1,Unknown,,11721.67,6,Unknown,17,3.0,3,Full Time,1,9.0,3,2.0,4,1,2,1981,54100.0,Yes
787,No,Unknown,287.03,Unknown,1,3,Life Sciences,788,4,Male,,3,1,Research Scientist,4,Unknown,,6027.67,3,No,22,3.0,1,Part Time,1,,3,3.0,5,1,0,1982,27820.0,Yes
788,No,Rarely,556.26,Unknown,8,2,Unknown,789,1,Female,,3,2,Sales Executive,3,Unknown,4492.84,11681.39,0,Yes,22,4.0,2,Part Time,1,6.0,3,2.0,5,0,4,1998,53914.11,Yes
789,No,Unknown,290.04,Unknown,1,3,Medical,790,2,Male,,3,1,Research Scientist,4,Single,,6090.75,6,Yes,12,3.0,3,Part Time,0,6.0,2,3.0,4,1,2,1979,28111.13,Yes
790,Yes,Unknown,556.26,Unknown,1,4,Unknown,791,2,Male,,3,2,Sales Executive,3,Unknown,4492.84,11681.39,7,No,12,3.0,4,Part Time,2,12.0,3,3.0,6,0,1,1973,53914.11,Yes
791,No,Unknown,556.26,Sales,11,4,Marketing,792,2,Female,69.53208262471655,2,2,Sales Executive,4,Married,4492.84,11681.39,4,No,13,3.0,1,Part Time,1,8.0,2,2.0,6,0,0,1987,53914.11,No
792,No,Unknown,500.4,Unknown,20,3,Unknown,793,4,Female,,3,2,Sales Executive,3,Unknown,,10508.33,8,No,15,3.0,3,Part Time,0,,3,3.0,5,0,1,1978,48500.0,Yes
793,No,Unknown,206.45,Unknown,2,4,Unknown,794,3,Female,,3,1,Research Scientist,3,Married,1667.5,4335.5,2,Unknown,14,3.0,2,Unknown,3,20.0,2,3.0,5,0,2,1983,,Yes
794,No,Rarely,290.04,Unknown,1,4,Unknown,795,3,Female,,1,1,Research Scientist,4,Married,2342.59,6090.75,1,No,12,3.0,4,Part Time,1,4.0,5,3.0,4,1,1,1988,28111.13,Yes
795,No,Rarely,556.26,Unknown,13,2,Other,796,4,Male,,2,2,Laboratory Technician,2,Unknown,4492.84,11681.39,4,Unknown,13,3.0,1,Part Time,1,10.0,2,3.0,4,0,3,1994,53914.11,No
796,No,Unknown,454.38,Unknown,8,3,Unknown,797,2,Male,,4,2,Laboratory Technician,3,Unknown,3670.0,9542.0,2,No,12,3.0,1,Unknown,0,,3,4.0,4,1,2,1989,,Yes
797,No,Rarely,290.04,Unknown,2,1,Unknown,798,1,Male,36.25443871706758,3,1,Laboratory Technician,2,Married,2342.59,6090.75,9,No,12,3.0,4,Part Time,1,6.0,3,3.0,2,2,2,1996,28111.13,No
798,No,Unknown,290.04,Research & Development,26,1,Unknown,799,1,Male,,3,1,Research Scientist,3,Divorced,,6090.75,1,Unknown,17,3.0,4,Part Time,1,5.0,1,2.0,5,4,3,1992,28111.13,Yes
799,No,Rarely,290.04,Unknown,38,2,Unknown,800,2,Male,,3,1,Laboratory Technician,4,Divorced,2342.59,6090.75,0,Unknown,11,3.0,3,Unknown,1,3.0,2,3.0,2,1,2,1989,,Yes
800,Yes,Rarely,290.04,Research & Development,24,3,Life Sciences,801,3,Male,36.25443871706758,2,1,Laboratory Technician,3,Single,,6090.75,5,Yes,14,3.0,2,Part Time,0,6.0,4,3.0,4,0,3,1995,28111.13,Yes
801,No,Rarely,290.04,Unknown,5,2,Unknown,802,1,Male,,4,1,Research Scientist,2,Divorced,2342.59,6090.75,0,Yes,12,3.0,4,Part Time,2,7.0,5,2.0,6,0,5,1991,28111.13,Yes
802,No,Unknown,406.92,Research & Development,2,3,Life Sciences,803,4,Male,50.86507936507937,3,1,Research Scientist,4,Single,3286.67,8545.33,5,Yes,11,3.0,3,Full Time,0,6.0,3,3.0,3,1,2,1985,39440.0,Yes
803,No,Unknown,556.26,Unknown,11,2,Unknown,804,1,Female,69.53208262471655,4,2,Manufacturing Director,3,Unknown,,11681.39,0,No,18,3.0,4,Part Time,1,5.0,5,2.0,4,1,3,1999,53914.11,Yes
804,Yes,Unknown,305.4,Unknown,6,1,Unknown,805,2,Male,38.17460317460318,3,1,Research Scientist,1,Single,,6413.33,2,No,11,3.0,3,Full Time,0,,2,3.0,4,1,3,1989,29600.0,Yes
805,Yes,Frequently,290.04,Research & Development,16,1,Unknown,806,2,Female,,1,1,Research Scientist,1,Unknown,,6090.75,1,Unknown,22,3.0,2,Part Time,0,,5,3.0,10,6,7,1991,28111.13,No
806,No,Rarely,1954.85,Unknown,2,4,Marketing,807,2,Female,244.3561507936508,3,5,Manager,1,Single,15789.17,41051.83,3,Unknown,12,3.0,4,Full Time,0,22.0,2,2.0,2,2,1,1977,189470.0,No
807,No,Unknown,667.02,Unknown,10,4,Other,808,4,Male,83.37797619047619,3,2,Healthcare Representative,4,Married,,14007.5,2,Unknown,13,3.0,4,Full Time,0,,5,4.0,4,1,3,1979,64650.0,No
808,Yes,Rarely,276.82,Unknown,3,2,Unknown,809,1,Male,,2,1,Sales Representative,3,Married,,5813.17,1,Unknown,14,3.0,3,Part Time,0,3.0,2,3.0,3,0,2,1973,26830.0,Yes
809,No,Unknown,207.79,Unknown,2,3,Marketing,810,4,Female,25.97420634920635,3,1,Sales Representative,4,Married,1678.33,4363.67,1,No,13,3.0,1,Part Time,0,2.0,3,3.0,2,2,2,1988,20140.0,Yes
810,Yes,Unknown,355.02,Unknown,5,4,Unknown,811,3,Male,,3,1,Laboratory Technician,3,Single,,7455.5,1,Yes,13,3.0,3,Unknown,0,2.0,3,2.0,2,2,2,1995,34410.0,Yes
811,No,Unknown,556.26,Unknown,22,3,Unknown,812,22,Female,,2,2,Sales Executive,4,Married,4492.84,11681.39,7,Yes,19,3.0,3,Part Time,1,5.0,2,2.0,2,0,0,1997,53914.11,No
812,No,Rarely,290.04,Unknown,31,4,Unknown,813,3,Female,36.25443871706758,3,1,Laboratory Technician,1,Unknown,,6090.75,3,Yes,15,3.0,3,Part Time,1,4.0,3,3.0,2,2,2,1988,28111.13,No
813,No,Unknown,290.04,Unknown,31,3,Medical,814,2,Male,,3,1,Research Scientist,1,Married,2342.59,6090.75,4,No,13,3.0,4,Unknown,1,5.0,2,2.0,3,1,2,1988,,Yes
814,No,Rarely,1409.78,Unknown,20,4,Medical,815,1,Male,,3,3,Research Director,3,Unknown,11386.67,29605.33,4,Unknown,13,3.0,1,Full Time,0,,3,4.0,5,0,2,1986,136640.0,Yes
815,No,Rarely,518.04,Unknown,38,2,Medical,816,38,Male,,3,2,Human Resources,2,Divorced,4184.17,10878.83,8,Yes,22,4.0,4,Part Time,1,,2,3.0,4,0,2,1977,50210.0,Yes
816,No,Rarely,556.26,Unknown,1,2,Medical,817,1,Male,69.53208262471655,3,2,Manufacturing Director,2,Married,4492.84,11681.39,1,No,15,3.0,3,Part Time,0,,2,3.0,5,1,3,1989,53914.11,Yes
817,No,Rarely,290.04,Unknown,9,4,Unknown,818,4,Male,,3,1,Laboratory Technician,4,Unknown,,6090.75,3,Unknown,23,4.0,2,Part Time,2,10.0,4,3.0,4,0,3,1972,28111.13,Yes
818,No,Rarely,556.26,Sales,3,2,Other,819,1,Female,,3,2,Sales Executive,3,Married,4492.84,11681.39,0,No,21,4.0,1,Part Time,1,4.0,2,2.0,3,0,2,1999,53914.11,Yes
819,No,Unknown,556.26,Unknown,23,3,Unknown,820,2,Male,69.53208262471655,3,2,Laboratory Technician,2,Married,4492.84,11681.39,4,Unknown,12,3.0,3,Part Time,1,,3,4.0,3,1,2,1979,53914.11,Yes
820,Yes,Rarely,290.04,Unknown,6,4,Human Resources,821,3,Male,,3,1,Human Resources,1,Divorced,2342.59,6090.75,4,Unknown,22,4.0,4,Unknown,0,,3,3.0,3,0,2,1986,28111.13,Yes
821,No,No,1944.22,Unknown,2,4,Human Resources,822,3,Female,243.0277777777778,2,5,Manager,4,Unknown,,40828.67,9,No,21,4.0,4,Full Time,1,,3,3.0,3,2,2,1964,188440.0,No
822,No,Unknown,290.04,Unknown,7,1,Unknown,823,4,Male,,2,1,Research Scientist,4,Married,2342.59,6090.75,1,No,11,3.0,3,Part Time,2,,2,3.0,2,2,1,1998,28111.13,Yes
823,No,Unknown,488.94,Unknown,26,3,Medical,824,2,Female,,4,1,Research Scientist,3,Single,3949.17,10267.83,4,Unknown,12,3.0,4,Unknown,0,,2,3.0,3,1,2,1980,,Yes
824,No,Frequently,1032.49,Unknown,12,3,Unknown,825,3,Female,,3,3,Sales Executive,4,Single,8339.32,21682.23,4,No,11,3.0,4,Part Time,0,16.0,3,3.0,2,2,1,1973,100071.84,No
825,Yes,Rarely,556.26,Unknown,20,3,Unknown,826,2,Female,,1,2,Sales Executive,3,Unknown,4492.84,11681.39,3,Yes,11,3.0,3,Part Time,1,4.0,2,3.0,2,2,2,1992,53914.11,Yes
826,No,Unknown,556.26,Research & Development,6,2,Medical,827,2,Male,,3,2,Manufacturing Director,2,Divorced,,11681.39,6,No,20,4.0,4,Part Time,2,7.0,0,3.0,3,0,1,1987,53914.11,No
827,Yes,Frequently,1098.81,Unknown,16,4,Unknown,828,1,Male,,1,3,Manufacturing Director,4,Unknown,,23075.0,2,Unknown,15,3.0,4,Full Time,0,18.0,2,3.0,4,0,3,1972,106500.0,No
828,No,Unknown,556.26,Sales,28,3,Life Sciences,829,1,Male,,2,2,Sales Executive,3,Unknown,,11681.39,2,Unknown,18,3.0,4,Part Time,0,,3,3.0,2,2,2,1998,53914.11,No
829,No,Rarely,445.4,Unknown,3,5,Technical Degree,830,4,Female,,3,2,Research Scientist,3,Unknown,3597.5,9353.5,3,Yes,20,4.0,2,Unknown,0,19.0,2,3.0,3,2,2,1985,43170.0,No
830,No,Rarely,290.04,Research & Development,5,3,Technical Degree,831,4,Female,,3,1,Research Scientist,1,Divorced,2342.59,6090.75,5,No,14,3.0,4,Part Time,1,8.0,3,3.0,3,2,2,1993,28111.13,Yes
831,No,Unknown,290.04,Unknown,36,1,Medical,832,36,Male,,3,1,Research Scientist,4,Married,2342.59,6090.75,1,No,24,4.0,1,Unknown,2,2.0,6,3.0,2,2,2,2001,,Yes
832,No,No,208.83,Research & Development,9,3,Medical,833,4,Male,26.103174603174605,3,1,Research Scientist,2,Unknown,1686.67,4385.33,6,Unknown,18,3.0,4,Part Time,1,,1,1.0,2,2,2,1996,20240.0,Yes
833,No,Unknown,290.04,Research & Development,21,3,Medical,834,3,Male,,3,1,Research Scientist,4,Married,2342.59,6090.75,1,No,11,3.0,3,Part Time,1,5.0,2,1.0,5,0,2,1995,28111.13,Yes
834,No,Unknown,315.51,Unknown,17,3,Unknown,835,3,Male,,3,1,Research Scientist,2,Unknown,,6625.67,0,Unknown,16,3.0,4,Full Time,1,6.0,3,2.0,5,1,1,1996,30580.0,Yes
835,No,Rarely,290.04,Unknown,8,3,Life Sciences,836,3,Female,36.25443871706758,3,1,Research Scientist,1,Divorced,2342.59,6090.75,4,Unknown,18,3.0,3,Part Time,1,,3,3.0,2,2,2,1967,28111.13,Yes
836,No,Rarely,290.04,Unknown,9,2,Unknown,837,3,Female,,3,1,Laboratory Technician,4,Single,,6090.75,1,Unknown,12,3.0,3,Part Time,0,,3,3.0,2,2,1,1985,28111.13,Yes
837,No,Rarely,405.37,Unknown,12,1,Medical,838,3,Female,,3,1,Research Scientist,4,Unknown,3274.17,8512.83,8,Unknown,23,4.0,3,Full Time,1,7.0,0,3.0,4,0,2,1992,39290.0,Yes
838,No,Rarely,290.04,Unknown,27,2,Medical,839,4,Female,,3,1,Research Scientist,2,Unknown,2342.59,6090.75,2,No,15,3.0,4,Unknown,0,9.0,3,3.0,3,1,2,1989,,Yes
839,No,Unknown,290.04,Research & Development,1,3,Unknown,840,3,Male,,2,1,Laboratory Technician,3,Unknown,2342.59,6090.75,2,Unknown,15,3.0,4,Part Time,1,,2,2.0,3,0,2,1973,28111.13,No
840,No,Unknown,556.26,Unknown,13,2,Unknown,841,4,Female,,4,2,Manufacturing Director,1,Divorced,4492.84,11681.39,1,No,11,3.0,3,Unknown,2,5.0,3,3.0,4,1,3,1970,,No
841,No,Frequently,456.55,Unknown,24,3,Medical,842,2,Female,,3,2,Laboratory Technician,2,Single,3687.5,9587.5,5,Unknown,11,3.0,4,Part Time,0,,5,3.0,6,1,2,1988,44250.0,Yes
842,No,Frequently,556.26,Unknown,1,1,Unknown,843,3,Male,,2,2,Manufacturing Director,1,Married,4492.84,11681.39,5,Unknown,19,3.0,3,Part Time,1,,1,3.0,2,2,0,1996,53914.11,No
843,No,Unknown,556.26,Unknown,38,2,Unknown,844,3,Male,69.53208262471655,3,2,Laboratory Technician,4,Married,4492.84,11681.39,8,Unknown,15,3.0,3,Part Time,1,,2,4.0,7,3,7,1983,53914.11,Yes
844,No,Unknown,240.19,Unknown,22,3,Life Sciences,845,22,Male,,4,1,Research Scientist,2,Unknown,1940.0,5044.0,1,Unknown,16,3.0,1,Part Time,1,4.0,2,2.0,4,2,2,2001,23280.0,No
845,No,Unknown,556.26,Unknown,10,5,Life Sciences,846,4,Male,69.53208262471655,2,2,Healthcare Representative,4,Unknown,4492.84,11681.39,9,No,14,3.0,4,Part Time,1,5.0,5,1.0,3,0,2,1983,53914.11,Yes
846,No,Unknown,1032.49,Unknown,1,4,Unknown,847,4,Male,,3,3,Healthcare Representative,1,Unknown,8339.32,21682.23,7,No,16,3.0,3,Unknown,1,17.0,3,3.0,4,0,3,1977,,Yes
847,Yes,Unknown,274.13,Unknown,3,3,Technical Degree,848,4,Female,,3,1,Research Scientist,1,Unknown,2214.17,5756.83,5,Yes,11,3.0,3,Unknown,0,8.0,5,3.0,5,0,4,1993,,Yes
848,Yes,Unknown,290.04,Unknown,1,3,Unknown,849,3,Male,,3,1,Research Scientist,3,Single,2342.59,6090.75,0,Unknown,14,3.0,4,Part Time,0,,1,2.0,6,1,5,1994,28111.13,No
849,No,Unknown,612.86,Unknown,3,3,Unknown,850,4,Female,76.60714285714286,3,2,Sales Executive,1,Married,,12870.0,2,Unknown,14,3.0,4,Full Time,1,16.0,4,3.0,6,0,5,1969,59400.0,No
850,No,Rarely,270.52,Research & Development,4,4,Unknown,851,3,Female,33.81547619047619,2,1,Research Scientist,2,Married,2185.0,5681.0,6,Unknown,21,4.0,4,Part Time,0,,3,3.0,3,1,1,1990,26220.0,Yes
851,No,Rarely,331.4,Unknown,2,3,Unknown,852,3,Female,41.42460317460318,2,1,Laboratory Technician,4,Single,2676.67,6959.33,7,Unknown,15,3.0,2,Full Time,0,,3,2.0,2,2,2,1971,32120.0,Yes
852,No,Rarely,290.04,Human Resources,6,2,Medical,853,2,Male,,3,1,Human Resources,3,Married,2342.59,6090.75,8,Unknown,17,3.0,4,Part Time,0,,2,2.0,2,2,2,1964,28111.13,No
853,Yes,Unknown,290.04,Unknown,1,3,Unknown,854,4,Male,,2,1,Laboratory Technician,3,Single,2342.59,6090.75,0,Unknown,14,3.0,4,Unknown,0,4.0,2,1.0,3,1,2,1991,,Yes
854,No,Unknown,290.04,Unknown,24,4,Medical,855,24,Female,36.25443871706758,3,1,Laboratory Technician,3,Divorced,2342.59,6090.75,7,No,14,3.0,3,Part Time,3,7.0,1,3.0,3,1,2,1984,28111.13,No
855,No,No,556.26,Unknown,26,4,Marketing,856,3,Male,69.53208262471655,3,2,Sales Executive,4,Unknown,4492.84,11681.39,0,No,18,3.0,1,Part Time,0,4.0,2,3.0,3,2,2,1991,53914.11,Yes
856,No,Unknown,1032.49,Unknown,3,4,Medical,857,2,Male,,3,3,Research Director,3,Divorced,8339.32,21682.23,9,No,12,3.0,1,Part Time,1,,3,3.0,2,2,2,1992,100071.84,Yes
857,No,Rarely,300.34,Unknown,5,4,Life Sciences,858,3,Female,,2,1,Research Scientist,4,Married,2425.83,6307.17,1,Unknown,13,3.0,3,Full Time,1,2.0,2,2.0,2,0,2,1990,29110.0,Yes
858,No,Unknown,556.26,Unknown,23,4,Life Sciences,859,1,Male,,4,2,Manufacturing Director,3,Unknown,4492.84,11681.39,4,Unknown,17,3.0,4,Unknown,1,9.0,1,3.0,3,0,2,1978,,Yes
859,No,Unknown,556.26,Research & Development,17,2,Unknown,860,4,Female,69.53208262471655,4,2,Research Scientist,1,Single,,11681.39,3,Yes,13,3.0,3,Part Time,0,,1,3.0,3,0,2,1981,53914.11,Yes
860,No,Unknown,715.1,Unknown,19,2,Marketing,861,4,Male,89.38789682539682,3,2,Sales Executive,4,Divorced,,15017.17,2,No,14,3.0,4,Full Time,1,,2,3.0,3,0,2,1994,69310.0,No
861,No,Rarely,556.26,Unknown,1,3,Unknown,862,1,Female,,3,2,Manufacturing Director,3,Married,4492.84,11681.39,0,No,12,3.0,4,Unknown,2,5.0,3,3.0,4,1,2,1998,53914.11,No
862,No,Unknown,224.51,Unknown,2,1,Unknown,863,4,Male,,2,2,Laboratory Technician,1,Unknown,1813.33,4714.67,4,No,13,3.0,4,Part Time,0,9.0,5,3.0,6,0,4,1991,21760.0,No
863,No,Rarely,290.04,Unknown,9,3,Unknown,864,4,Male,,3,1,Research Scientist,4,Married,,6090.75,1,No,23,4.0,4,Unknown,1,,3,3.0,5,0,4,1995,28111.13,Yes
864,No,Rarely,333.25,Unknown,3,2,Unknown,865,4,Male,,2,1,Research Scientist,3,Single,,6998.33,1,No,17,3.0,1,Full Time,0,,4,4.0,3,1,0,2002,32300.0,No
865,No,No,1032.49,Unknown,1,4,Medical,866,1,Female,129.06091077207583,3,3,Research Director,4,Divorced,8339.32,21682.23,2,Yes,18,3.0,1,Part Time,2,,2,3.0,5,0,2,1986,100071.84,No
866,No,Rarely,556.26,Unknown,23,4,Life Sciences,867,4,Male,,3,2,Healthcare Representative,4,Unknown,4492.84,11681.39,9,Unknown,14,3.0,2,Part Time,1,,2,3.0,2,1,2,1985,53914.11,No
867,Yes,Rarely,290.04,Unknown,16,4,Medical,868,1,Male,,3,1,Laboratory Technician,2,Divorced,2342.59,6090.75,2,Yes,13,3.0,4,Part Time,1,,2,3.0,3,0,2,1997,28111.13,No
868,No,Unknown,1925.75,Unknown,10,4,Life Sciences,869,3,Female,240.719246031746,3,5,Research Director,1,Single,15554.17,40440.83,9,Yes,11,3.0,4,Full Time,0,,4,3.0,3,1,2,1974,186650.0,Yes
869,No,Frequently,287.75,Sales,5,3,Unknown,870,4,Female,,3,1,Sales Representative,2,Divorced,,6042.83,1,Unknown,11,3.0,3,Part Time,1,2.0,5,2.0,2,2,2,1992,27890.0,Yes
870,No,Frequently,290.04,Unknown,9,3,Medical,871,2,Male,,3,1,Research Scientist,4,Married,2342.59,6090.75,1,Unknown,12,3.0,3,Part Time,3,,3,2.0,4,1,2,1986,28111.13,No
871,No,Rarely,290.04,Research & Development,11,4,Unknown,872,11,Male,,3,1,Research Scientist,4,Married,2342.59,6090.75,0,Unknown,12,3.0,3,Part Time,1,,4,3.0,5,0,3,1992,28111.13,Yes
872,No,Rarely,661.35,Unknown,2,3,Human Resources,873,1,Male,82.6686507936508,2,2,Human Resources,1,Unknown,5341.67,13888.33,3,No,12,3.0,4,Full Time,0,,1,3.0,2,1,0,1992,64100.0,No
873,No,Unknown,290.04,Research & Development,2,4,Unknown,874,3,Male,36.25443871706758,3,1,Research Scientist,4,Unknown,2342.59,6090.75,0,Unknown,18,3.0,2,Part Time,1,3.0,2,1.0,2,2,2,1992,28111.13,Yes
874,Yes,Unknown,509.79,Unknown,17,4,Medical,875,17,Male,,2,2,Research Scientist,2,Unknown,4117.5,10705.5,2,No,15,3.0,1,Part Time,0,11.0,3,2.0,8,7,7,1971,49410.0,No
875,Yes,Unknown,290.04,Unknown,2,4,Medical,876,1,Male,,1,1,Research Scientist,4,Married,2342.59,6090.75,5,Yes,13,3.0,4,Unknown,0,,4,2.0,3,2,2,1995,,Yes
876,No,Rarely,1973.98,Unknown,5,5,Unknown,877,4,Male,246.74801587301585,3,5,Research Director,3,Married,,41453.67,4,Unknown,11,3.0,2,Full Time,1,21.0,2,3.0,3,1,1,1976,191324.62,No
877,No,Unknown,410.94,Unknown,9,5,Other,878,2,Male,,2,1,Laboratory Technician,4,Unknown,3319.17,8629.83,0,No,17,3.0,3,Full Time,0,4.0,2,3.0,3,2,2,1994,39830.0,Yes
878,No,Unknown,654.85,Unknown,5,2,Medical,879,4,Male,,3,2,Manufacturing Director,4,Unknown,5289.17,13751.83,7,No,16,3.0,3,Unknown,2,8.0,2,2.0,6,0,4,1986,,Yes
879,No,Unknown,299.62,Unknown,26,1,Unknown,880,3,Male,,3,1,Research Scientist,4,Unknown,2420.0,6292.0,1,Unknown,12,3.0,3,Full Time,2,,2,2.0,4,0,2,2000,29040.0,No
880,No,Rarely,278.16,Human Resources,2,1,Unknown,881,3,Male,,3,1,Human Resources,3,Divorced,2246.67,5841.33,0,Yes,11,3.0,3,Unknown,1,4.0,5,3.0,3,1,0,1981,,No
881,No,Unknown,556.26,Sales,25,2,Unknown,882,4,Female,,3,2,Sales Executive,3,Unknown,4492.84,11681.39,7,Unknown,12,3.0,2,Unknown,1,4.0,2,4.0,2,2,2,1993,,No
882,Yes,Unknown,224.3,Unknown,31,1,Unknown,883,1,Female,28.03769841269841,2,1,Sales Representative,2,Single,,4710.33,1,Unknown,11,3.0,3,Part Time,0,3.0,3,3.0,3,1,2,2002,21740.0,Yes
883,No,Rarely,696.94,Unknown,1,4,Medical,884,4,Male,,3,2,Healthcare Representative,3,Unknown,5629.17,14635.83,2,No,11,3.0,3,Unknown,0,,2,3.0,3,1,2,1966,,Yes
884,No,Unknown,290.04,Unknown,9,2,Unknown,885,1,Male,,3,1,Sales Representative,4,Single,2342.59,6090.75,1,Unknown,24,4.0,3,Unknown,0,3.0,3,2.0,3,2,2,2002,28111.13,Yes
